Salary,Born,City,Pr/St,Cntry,Nat,Ht,Wt,DftYr,DftRd,Ovrl,Hand,Last Name,First Name,Position,Team,GP,G,A,A1,A2,PTS,+/-,E+/-,PIM,Shifts,TOI,TOIX,TOI/GP,TOI/GP,TOI%,IPP%,SH%,SV%,PDO,F/60,A/60,Pct%,Diff,Diff/60
680000,94-01-06,Edmonton,AB,CAN,CAN,74,187,2012,4,105,L,Kulak,Brett,D,CGY,21,0,3,2,1,3,-3,-0.4,12,415,17945,299.1,14.25,14.24,27.9,42.9,5.2,0.921,973,1.4,2.41,36.8,-5,-1
590000,92-04-24,Oakville,ON,CAN,CAN,71,183,2011,7,209,L,Wilson,Scott,LW/C,PIT,78,8,18,11,7,26,0,7.8,32,1253,51220,853.5,10.95,10.95,21.7,72.2,7.8,0.916,994,2.53,2.46,50.7,1,0.07
650000,91-05-13,St. Catharines,ON,CAN,CAN,74,203,2009,3,70,R,Beck,Taylor,LW,EDM/NYR,5,0,0,0,0,0,-3,-1.4,4,70,2643,44,8.82,8.81,17.2,0,0,0.87,870,0,4.09,0,-3,-4.09
2250000,86-04-28,Ostrava,,CZE,CZE,74,235,2004,6,180,R,Polak,Roman,D,TOR,75,4,7,2,5,11,10,-2.3,65,1817,80643,1339.2,17.83,17.87,32.5,25,7.6,0.93,1006,1.97,2.46,44.4,-11,-0.49
600000,90-10-08,Faribault,MN,USA,USA,76,210,2009,4,114,L,Helgeson,Seth,D,N.J,9,1,0,0,0,1,2,0.4,15,177,7273,121.2,13.47,13.47,26.3,25,8.3,0.934,1018,1.98,1.98,50,0,0
5000000,94-03-09,Vancouver,BC,CAN,CAN,73,215,2012,1,5,L,Rielly,Morgan,D,TOR,76,6,21,14,7,27,-20,2.6,21,2335,101089,1669.7,22.05,22.06,37.1,39.7,7.9,0.903,982,2.44,3.41,41.7,-27,-0.97
5250000,92-06-25,Wilcox,SK,CAN,CAN,70,188,2010,1,14,L,Schwartz,Jaden,LW/C,STL,78,19,36,24,12,55,14,8.7,18,2032,88482,1470.6,18.9,18.89,31.9,65.5,10.2,0.914,1016,3.43,2.16,61.3,31,1.26
925000,96-05-01,Calgary,AB,CAN,SWE,72,190,2014,1,8,R,Nylander,William,C/RW,TOR,81,22,39,23,16,61,-3,7.2,32,1766,77820,1291.4,15.92,15.96,28.5,82.4,9.1,0.928,1019,3.44,2.04,62.7,30,1.39
1600000,90-11-29,Plzen,,CZE,CZE,79,220,,,,R,Sustr,Andrej,D,T.B,80,3,11,5,6,14,-10,-4.8,43,1813,84427,1404.6,17.58,17.58,31.6,35,6.5,0.917,982,1.71,2.78,38.1,-25,-1.07
717500,96-11-26,Colorado Springs,CO,USA,USA,77,203,2015,2,37,R,Carlo,Brandon,D,BOS,82,6,10,3,7,16,9,5.3,59,2080,102414,1699.7,20.72,20.75,36.6,22.2,8.5,0.908,993,2.54,2.89,46.8,-10,-0.35
925000,96-05-25,Havirov,,CZE,CZE,72,181,2014,1,25,R,Pastrnak,David,RW/LW,BOS,75,34,36,22,14,70,11,14.8,34,1597,80921,1343.4,17.87,17.92,32.1,71.4,10.8,0.91,1018,4.38,2.1,67.6,51,2.28
900000,98-03-14,St. Albert,AB,CAN,CAN,71,191,2016,1,10,L,Jost,Tyson,C/LW/RW,COL,6,1,0,0,0,1,-5,-1.5,0,121,5643,94.1,15.68,15.68,26,50,4.2,0.846,888,1.28,5.1,20,-6,-3.83
3750000,88-05-28,Sherbrooke,QC,CAN,CAN,72,200,2007,1,26,R,Perron,David,LW/RW,STL,82,18,28,16,12,46,-2,5.1,54,2019,85106,1415.2,17.3,17.29,29.3,64.8,10.3,0.911,1014,3.01,2.2,57.7,19,0.81
792500,94-03-23,Boden,,SWE,SWE,75,209,2012,3,81,R,Sundqvist,Oskar,C,PIT,10,0,0,0,0,0,-4,-1.7,2,138,5504,91.6,9.17,9.17,16.7,0,5.9,0.844,903,1.31,4.59,22.2,-5,-3.28
600000,90-11-16,Merrimack,NH,USA,USA,74,219,,,,L,Schaller,Tim,C,BOS,59,7,7,6,1,14,-6,0.7,23,1035,43436,723.6,12.27,12.27,22.4,66.7,6.3,0.923,986,1.74,2.24,43.8,-6,-0.5
6000000,91-08-22,Saskatoon,SK,CAN,CAN,73,195,2009,1,5,L,Schenn,Brayden,C/LW,PHI,79,25,30,17,13,55,-13,0.8,38,1767,84404,1397.1,17.8,17.76,31.1,62.5,9.7,0.911,1008,3.78,2.32,62,34,1.46
5500000,92-03-20,South St.Paul,MN,USA,USA,72,215,2010,2,37,R,Faulk,Justin,D,CAR,75,17,20,11,9,37,-18,2.4,32,1987,104133,1704.1,23.13,23,38.9,52.9,7.4,0.91,984,2.46,2.39,50.7,2,0.07
724500,92-10-26,Toronto,ON,CAN,CAN,72,192,2011,3,65,L,Cramarossa,Joseph,C/LW,ANA/VAN,59,4,6,3,3,10,0,-8.2,60,882,35208,586.3,9.95,9.94,19,66.7,7.5,0.94,1015,1.54,1.84,45.5,-3,-0.31
725000,91-11-01,Sherwood Park,AB,CAN,CAN,72,188,,,,L,Carr,Daniel,LW,MTL,33,2,7,5,2,9,4,-0.4,6,511,20306,337.4,10.25,10.24,19.8,69.2,8,0.943,1023,2.31,1.42,61.9,5,0.89
4000000,90-06-05,Prague,,CZE,CZE,72,204,2010,3,66,R,Gudas,Radko,D,PHI,67,6,17,10,7,23,8,5.1,93,1739,77555,1289.5,19.3,19.28,33.8,42.6,8.9,0.904,993,2.51,2.65,48.6,-3,-0.14
800000,90-09-23,Rimouski,QC,CAN,CAN,70,206,2009,5,132,L,Bourque,Gabriel,LW/RW,COL,6,0,0,0,0,0,0,-1.1,0,103,4032,67.2,11.2,11.2,21.2,0,4.8,0.878,926,0.89,4.46,16.7,-4,-3.57
4250000,90-06-01,Bern,,CHE,CHE,73,201,2008,2,38,L,Josi,Roman,D,NSH,72,12,37,20,17,49,7,4.5,18,2076,108323,1791.3,25.07,25.01,41.8,49,10,0.907,1007,3.35,2.71,55.2,19,0.64
742500,94-05-01,Denver,CO,USA,USA,74,205,2012,4,120,L,Slavin,Jaccob,D,CAR,82,5,29,14,15,34,23,10.7,12,2135,115316,1878.2,23.43,23.26,39.4,40.5,9.5,0.912,1007,2.68,2.36,53.2,10,0.32
750000,90-06-20,Sterling Heights,MI,USA,USA,75,221,2008,5,128,R,Pateryn,Greg,D,DAL/MTL,36,1,8,1,7,9,-1,0.1,10,720,33312,554.6,15.42,15.41,28.5,42.9,7.6,0.9,976,2.27,2.92,43.8,-6,-0.65
4500000,86-08-01,Tibro,,SWE,SWE,71,190,2005,7,216,R,Stralman,Anton,D,T.B,73,5,17,8,9,22,1,1.8,20,1963,100304,1664.1,22.9,22.87,38.3,32.4,8.8,0.908,997,2.45,2.85,46.3,-11,-0.4
3000000,92-11-12,Skellefteë,,SWE,SWE,75,215,2011,1,4,R,Larsson,Adam,D,EDM,79,4,15,3,12,19,21,7.5,55,2055,95509,1587.8,20.12,20.12,35,25,9.8,0.91,1008,2.87,2.83,50.3,1,0.04
630000,90-05-27,Huntsville,AL,USA,USA,74,196,2009,7,198,R,Dowd,Nic,C,L.A,70,6,16,10,6,22,-15,5.4,25,1230,52314,871.6,12.45,12.45,22.6,73.3,6.3,0.894,957,2.07,2.07,50,0,0
2200000,89-11-21,Roubaix,,FRA,FRA,72,200,,,,L,Roussel,Antoine,LW,DAL,60,12,15,11,4,27,1,5.8,115,1427,55866,929.3,15.52,15.51,27.1,61.4,9.8,0.889,987,2.84,3.29,46.3,-7,-0.45
650000,90-07-16,Albany,NY,USA,USA,75,221,,,,L,Lashoff,Brian,D,DET,5,0,0,0,0,0,-3,0.7,0,93,3754,62.4,12.52,12.5,22.7,0,3.7,0.818,855,0.96,3.85,20,-3,-2.89
1300000,89-04-27,Ottawa,ON,CAN,CAN,69,160,2007,6,179,L,Byron,Paul,LW/C/RW,MTL,81,22,21,15,6,43,21,11.3,29,1849,73228,1219,15.07,15.06,26.2,71.7,10.5,0.923,1027,2.95,2.26,56.6,14,0.69
925000,94-09-22,Stockholm,,SWE,SWE,74,196,2013,1,14,L,Wennberg,Alex,C,CBJ,80,13,46,27,19,59,9,3.6,21,1893,88212,1468.8,18.38,18.37,31.2,68.6,10.4,0.929,1033,3.51,1.8,66.2,42,1.72
700000,88-02-16,Munich,,DEU,DEU,75,215,2006,4,111,R,Holzer,Korbinian,D,ANA,32,2,5,2,3,7,0,-2.9,23,577,25945,430.9,13.52,13.5,25.6,46.7,9.8,0.918,1016,2.09,2.65,44.1,-4,-0.56
1200000,92-02-18,Kosice,,SVK,SVK,76,210,2010,2,46,L,Marincin,Martin,D,TOR,25,1,6,2,4,7,3,-0.2,16,625,27071,450.4,18.05,18.04,33.4,35,10,0.92,1020,2.66,2.93,47.6,-2,-0.27
925000,97-01-13,Yaroslavl,,RUS,RUS,73,201,2015,1,7,L,Provorov,Ivan,D,PHI,82,6,24,15,9,30,-7,-1.1,34,2337,108132,1790.8,21.98,21.93,36.8,52.6,7.1,0.905,976,1.91,2.65,41.9,-22,-0.74
925000,97-06-23,Mt. Brydges,ON,CAN,CAN,76,220,2015,1,11,L,Crouse,Lawson,LW,ARI,72,5,7,5,2,12,-20,-8.7,48,1212,51358,855.1,11.88,11.88,22.1,66.7,5,0.892,943,1.26,3.93,24.3,-38,-2.67
6000000,88-09-10,Thunder Bay,ON,CAN,CAN,76,220,2006,1,2,L,Staal,Jordan,C/LW,CAR,75,16,29,11,18,45,-1,10.5,38,1927,83977,1380,18.67,18.58,31.3,64.3,8.9,0.909,998,3.04,2.35,56.5,16,0.7
950000,83-10-19,Unity,SK,CAN,CAN,72,200,2002,1,17,R,Gordon,Boyd,C/RW,PHI,13,1,0,0,0,1,-5,-1.1,2,184,6379,106.2,8.18,8.18,16.2,100,2.8,0.789,817,0.57,6.78,7.7,-11,-6.22
2500000,94-12-02,Boden,,SWE,SWE,73,192,2013,1,5,R,Lindholm,Elias,C/RW,CAR,72,11,34,29,5,45,-2,2.8,16,1743,78543,1289.7,18.18,18.09,30.5,69.2,9.6,0.899,995,3.02,2.56,54.2,10,0.47
1050000,91-03-23,Pori,,FIN,FIN,72,193,2009,7,182,L,Haula,Erik,C/LW,MIN,72,15,11,7,4,26,5,8.1,28,1389,59673,994.4,13.82,13.81,24.5,61.9,8.2,0.919,1001,2.53,2.41,51.2,2,0.12
792500,95-03-14,Molnlycke,,SWE,SWE,72,201,2013,6,180,L,Blidh,Anton,LW,BOS,19,1,1,1,0,2,-2,5.3,7,237,10006,166.6,8.78,8.78,17.8,66.7,3.4,0.922,956,1.08,1.8,37.5,-2,-0.72
600000,86-08-09,Bayport,NY,USA,USA,71,197,,,,R,Cannone,Patrick,C,MIN,3,0,0,0,0,0,0,0.1,0,35,1419,23.7,7.88,7.88,16.1,0,10,0.917,1017,2.54,2.54,50,0,0
4750000,85-10-12,Malm_,,SWE,SWE,75,210,2004,2,49,L,Soderberg,Carl,C/LW,COL,80,6,8,4,4,14,-26,-13.1,22,1472,64537,1073.1,13.45,13.44,24.2,48.3,6.2,0.894,957,1.62,3.3,33,-30,-1.68
925000,93-02-10,Edmonton,AB,CAN,CAN,74,194,2011,4,92,L,Simpson,Dillon,D,EDM,3,0,0,0,0,0,0,0,2,50,1959,32.7,10.88,10.88,21.3,0,7.7,0.917,994,1.84,1.84,50,0,0
6000000,90-09-20,Mississauga,ON,CAN,CAN,73,211,2009,1,1,L,Tavares,John,C,NYI,77,28,38,21,17,66,4,9.9,38,1906,94335,1571.3,20.4,20.41,34.3,68.8,10.1,0.9,1002,3.67,2.75,57.1,24,0.92
925000,98-03-02,Calgary,AB,CAN,CAN,73,180,2016,1,8,R,Nylander,Alex,RW/LW,BUF,4,0,1,1,0,1,-2,-1.4,0,62,2959,49.7,12.33,12.36,22.8,100,4,0.921,961,1.21,3.62,25,-2,-2.41
767500,95-04-16,Cornwall,ON,CAN,CAN,73,210,2013,2,40,L,Elie,Remi,LW,DAL,18,1,6,2,4,7,5,1,8,396,16875,281,15.63,15.62,27.6,70,8.5,0.945,1030,2.14,1.49,58.8,3,0.64
3500000,89-06-05,Riverside,CT,USA,USA,68,182,2008,6,157,R,Atkinson,Cam,RW,CBJ,82,35,27,18,9,62,13,-2.3,22,1966,88972,1474.3,18.08,18.05,30.1,69.7,11,0.937,1047,3.62,1.99,64.5,40,1.63
4500000,91-03-20,Eden Prairie,MN,USA,USA,72,199,2009,1,16,L,Leddy,Nick,D,NYI,81,11,35,17,18,46,-3,-13.7,12,1912,110410,1835.7,22.72,22.7,38.5,49.5,9.3,0.92,1013,3.04,2.52,54.7,16,0.52
750000,83-02-02,Churchill,MB,CAN,CAN,69,195,2001,4,98,R,Tootoo,Jordin,RW,CHI,50,2,1,0,1,3,-6,0.5,28,509,20241,337.4,6.75,6.75,13.9,60,3.2,0.932,964,0.89,1.96,31.3,-6,-1.07
3100000,87-05-02,Caroline,AB,CAN,CAN,70,170,2005,3,67,L,Russell,Kris,D,EDM,68,1,12,2,10,13,5,-2.9,23,1862,86565,1439.4,21.22,21.2,36.2,28.9,7.5,0.928,1002,1.88,2.17,46.4,-7,-0.29
2350000,94-07-25,Regina,SK,CAN,CAN,72,183,2012,1,7,R,Dumba,Matt,D,MIN,76,11,23,10,13,34,15,5.1,59,1855,92686,1539.4,20.32,20.3,35.1,38.2,11.2,0.92,1033,3.47,2.26,60.5,31,1.21
750000,91-09-30,Bellmawr,NJ,USA,USA,78,232,,,,R,Robinson,Buddy,RW,OTT,4,0,0,0,0,0,0,0.1,2,49,1667,27.8,6.95,6.95,15.7,0,0,1,1000,0,0,0,0,0
700000,87-05-19,Madison,WI,USA,USA,73,216,2005,1,7,R,Skille,Jack,RW,VAN,55,5,4,4,0,9,0,-2.1,12,733,29037,483.6,8.8,8.8,17.3,69.2,5.9,0.946,1006,1.61,1.61,50,0,0
6750000,83-10-03,Toronto,ON,CAN,CAN,72,198,,,,L,Giordano,Mark,D,CGY,81,12,27,12,15,39,22,8.1,59,2364,114610,1898.2,23.58,23.53,39,39,10.2,0.911,1013,3.16,2.4,56.8,24,0.76
600000,91-01-18,Oviedo,FL,USA,USA,72,195,,,,R,Carpenter,Ryan,C,S.J,11,2,2,2,0,4,5,0.4,4,179,6853,114.1,10.38,10.38,19.2,66.7,9.7,0.962,1059,3.15,1.05,75,4,2.1
650000,96-05-27,Saskatoon,SK,CAN,CAN,74,191,2014,4,101,R,Nogier,Nelson,D,WPG,10,0,0,0,0,0,-1,0.1,5,166,7028,104.1,11.72,11.28,22.9,0,5.6,0.941,997,1.73,2.31,42.9,-1,-0.58
2600000,91-07-27,Laval,QC,CAN,CAN,76,218,2009,1,30,L,Despres,Simon,D,ANA,1,0,0,0,0,0,0,0,0,19,968,16.1,16.13,16.13,32.5,0,0,1,1000,0,0,0,0,0
667500,95-12-12,Brooklyn,NY,USA,USA,71,185,2014,6,171,R,Labanc,Kevin,RW,S.J,55,8,12,10,2,20,9,-1.1,22,1055,45139,751.7,13.68,13.68,24.7,57.1,9.5,0.935,1029,2.79,1.68,62.5,14,1.12
925000,94-04-07,Richmond,BC,CAN,CAN,70,190,,,,R,Stecher,Troy,D,VAN,71,3,21,10,11,24,-16,-11.5,25,1719,85110,1410.1,19.98,19.94,35,38.1,8.5,0.915,999,2.68,2.55,51.2,3,0.13
2100000,89-07-05,Meadow Lake,SK,CAN,CAN,76,229,2007,4,109,L,King,Dwight,LW/RW,L.A/MTL,80,9,7,4,3,16,-2,-3,12,1517,69152,1151.6,14.4,14.4,25.7,50,6.3,0.927,990,1.67,2.08,44.4,-8,-0.42
7000000,87-12-09,Ann Arbor,MI,USA,USA,75,204,2006,2,45,R,Petry,Jeff,D,MTL,80,8,20,11,9,28,3,10.3,22,2177,106152,1765.1,22.12,22.1,36.9,35.4,8.7,0.915,1001,2.69,2.48,52,6,0.2
667500,94-02-07,Pittsburgh,PA,USA,USA,72,193,2012,6,167,R,Barber,Riley,RW,WSH,3,0,0,0,0,0,0,0.3,0,37,1544,25.8,8.58,8.58,17.3,0,0,1,1000,0,0,0,0,0
5000000,87-09-03,Whitby,ON,CAN,CAN,74,221,2005,2,33,L,Neal,James,RW/LW,NSH,70,23,18,14,4,41,-10,2.5,35,1599,74312,1230.1,17.7,17.66,31,67.2,8.7,0.916,1003,2.98,2.15,58.1,17,0.83
3900000,87-07-26,Rochester Hills,MI,USA,USA,73,212,2007,4,95,L,Martinez,Alec,D,L.A,82,9,30,13,17,39,-17,4,24,2431,106475,1769.6,21.63,21.62,36,50.6,8.3,0.891,974,2.61,2.81,48.1,-6,-0.2
625000,92-07-25,Brandon,MB,CAN,CAN,72,202,2012,2,58,L,Martinook,Jordan,LW/C,ARI,77,11,14,10,4,25,-8,-10.6,40,1686,72438,1206.1,15.68,15.68,27.5,56.8,8.3,0.905,988,2.19,3.33,39.6,-23,-1.14
2750000,90-12-01,Ilava,,SVK,SVK,70,185,2009,2,60,L,Tatar,Tomas,LW/C/RW,DET,82,25,21,12,9,46,-8,3.1,26,1922,85004,1395.9,17.28,17.19,29.8,65.7,10.1,0.888,988,3.01,2.79,51.9,5,0.21
3400000,92-05-19,Chelyabinsk,,RUS,RUS,74,192,2010,1,26,L,Kuznetsov,Evgeny,C/LW,WSH,82,19,40,23,17,59,18,5.8,46,1667,83410,1385.1,16.95,16.93,30,72,10.8,0.926,1034,3.55,1.95,64.6,37,1.6
842500,96-04-16,Edmonton,AB,CAN,CAN,73,195,2014,1,30,L,Quenneville,John,C,N.J,12,1,3,2,1,4,1,-0.9,2,224,9863,150.3,13.7,13.31,25.6,66.7,8.6,0.966,1052,2.4,0.8,75,4,1.6
5500000,80-09-26,San Francisco,CA,USA,USA,75,219,2000,1,18,L,Orpik,Brooks,D,WSH,79,0,14,6,8,14,32,7.1,48,1748,84306,1401.6,17.78,17.77,31.8,23,9.3,0.925,1019,2.61,2.18,54.5,10,0.43
575000,91-12-15,Saint-Narcisse,QC,CAN,CAN,69,172,,,,L,Gourde,Yanni,C,T.B,20,6,2,2,0,8,-1,2.8,8,421,18441,306.5,15.37,15.35,26.8,72.7,6.7,0.908,976,2.15,2.54,45.8,-2,-0.39
5500000,87-02-25,Muskegon,MI,USA,USA,74,218,2005,2,42,L,Abdelkader,Justin,LW/RW,DET,64,7,14,9,5,21,-20,-3.7,50,1397,63969,1040.9,16.65,16.52,28.3,61.8,6.8,0.909,977,1.96,2.59,43,-11,-0.63
925000,93-02-25,SAUGUS,MA,USA,USA,70,194,,,,R,Vecchione,Mike,C/RW,PHI,2,0,0,0,0,0,-1,-0.3,0,21,1020,16.9,8.5,8.48,17.1,0,0,0.9,900,0,3.55,0,-1,-3.55
5750000,88-05-24,Yaroslavl,,RUS,RUS,76,198,2006,2,54,L,Anisimov,Artem,C/LW,CHI,64,22,23,12,11,45,9,-2.7,30,1401,68529,1138.6,17.85,17.83,30.9,66.2,11.8,0.92,1038,3.58,2.42,59.6,22,1.16
715000,93-09-08,Lansing,MI,USA,USA,70,195,2011,4,99,L,Boucher,Reid,C/LW,N.J/NSH/VAN,39,6,4,3,1,10,-6,-5.3,8,621,27909,456.7,11.73,11.79,22.1,58.8,7,0.918,988,2.23,2.5,47.2,-2,-0.26
925000,98-03-31,Boca Raton,FL,USA,USA,75,200,2016,1,16,L,Chychrun,Jakob,D,ARI,68,7,13,5,8,20,-14,-11.3,47,1470,68000,1130.7,16.67,16.65,30.2,52.6,7.6,0.913,989,2.02,2.87,41.3,-16,-0.85
3250000,85-02-19,Port McNeill,BC,CAN,CAN,76,216,2004,3,79,L,Stoner,Clayton,D,ANA,14,1,2,1,1,3,0,1.4,28,325,14743,245.3,17.55,17.54,32.3,60,4.5,0.946,991,1.22,1.47,45.5,-1,-0.24
925000,96-02-07,Windsor,ON,CAN,CAN,76,216,2014,1,1,R,Ekblad,Aaron,D,FLA,68,10,11,4,7,21,-23,-6.5,58,1618,87557,1454.3,21.47,21.44,36.1,42,5.8,0.915,973,2.06,2.43,45.9,-9,-0.37
825000,91-10-07,Hinsdale,IL,USA,CAN,75,215,2011,6,160,R,Manson,Josh,D,ANA,82,5,12,4,8,17,14,13.1,82,1911,91639,1524.3,18.63,18.62,33.3,28.8,8.5,0.92,1005,2.32,2.32,50,0,0
3575000,89-03-17,Vasteras,,SWE,SWE,73,199,2007,1,24,L,Backlund,Mikael,C,CGY,81,22,31,21,10,53,9,5.6,36,1914,85565,1424.4,17.6,17.6,29.6,67.1,10.2,0.896,997,3.33,2.82,54.1,12,0.51
600000,92-02-25,Orland Park,IL,USA,USA,68,165,2011,3,66,R,Tynan,T.J.,C/RW,CBJ,3,0,0,0,0,0,-1,-0.1,0,34,1347,22.5,7.48,7.48,14.9,0,0,0.929,929,0,2.67,0,-1,-2.67
5850000,86-04-29,Anchorage,AK,USA,USA,74,218,2004,2,60,L,Dubinsky,Brandon,C/LW,CBJ,80,12,29,21,8,41,16,-2.8,91,1954,85898,1430.9,17.9,17.89,30.1,63.1,9.2,0.924,1016,2.73,2.47,52.4,6,0.25
750000,92-03-09,Wheaton,IL,USA,USA,72,187,2011,7,204,L,Dzingel,Ryan,LW/RW/C,OTT,81,14,18,13,5,32,7,1.6,30,1562,69926,1164.9,14.38,14.38,26.1,64,8.2,0.934,1016,2.58,1.96,56.8,12,0.62
5000000,82-10-30,Trenton,MI,USA,USA,71,190,,,,L,Greene,Andy,D,N.J,66,4,9,6,3,13,-16,-3,8,1875,86898,1401.3,21.75,21.64,36.8,28.9,7.5,0.912,986,1.93,2.91,39.8,-23,-0.98
660000,95-09-24,Winnipeg,MB,CAN,CAN,76,213,2014,3,73,R,Lernout,Brett,D,MTL,2,0,0,0,0,0,-1,0.4,0,45,2279,38,19,18.99,33,0,5.6,0.857,913,1.58,3.16,33.3,-1,-1.58
3000000,88-01-05,Drummondville,QC,CAN,CAN,70,188,2006,6,177,L,Perreault,Mathieu,C/LW,WPG,65,13,32,18,14,45,-11,3.1,30,1356,63525,1036.8,16.28,16.17,29.4,61.6,11.3,0.882,996,4.22,3.18,57,18,1.04
2500000,86-12-20,Kindersley,SK,CAN,CAN,72,192,2006,7,189,R,Dorsett,Derek,RW,VAN,14,1,3,2,1,4,-6,0.2,33,221,8343,139.1,9.93,9.93,19.5,80,7.2,0.828,901,2.16,4.75,31.3,-6,-2.59
800000,90-09-12,Burnaby,BC,CAN,CAN,77,202,2008,2,42,L,Wiercioch,Patrick,D,COL,57,4,8,3,5,12,-18,-12.8,23,1286,56999,950.8,16.68,16.68,29.4,57.1,5.2,0.917,969,1.33,2.71,32.8,-22,-1.39
925000,96-02-23,Madison,WI,USA,USA,72,177,2014,1,20,R,Schmaltz,Nick,C/LW,CHI,61,6,22,16,6,28,10,-4,6,1070,48536,807.9,13.27,13.26,24.7,75.7,9.2,0.943,1034,2.75,1.71,61.7,14,1.04
13800000,88-11-19,Buffalo,NY,USA,USA,71,177,2007,1,1,L,Kane,Patrick,RW/C,CHI,82,34,55,36,19,89,11,-6.5,32,1910,105263,1742.9,21.4,21.35,36.3,78.1,11.2,0.918,1030,3.92,2.31,63,47,1.62
3500000,91-04-01,Toronto,ON,CAN,CAN,72,185,2009,3,69,L,Smith,Reilly,RW/C/LW,FLA,80,15,22,9,13,37,-13,-4.1,17,1948,88096,1460.4,18.35,18.32,30.7,63.8,7.5,0.906,981,2.38,2.71,46.8,-8,-0.33
